properties.nombre,properties.libres,timestamp
Arcco,0,2022-01-23 17:12:47.334498
Atotxa,169,2022-01-23 17:12:47.334498
Boulevard,137,2022-01-23 17:12:47.334498
Buen Pastor,240,2022-01-23 17:12:47.334498
Easo,116,2022-01-23 17:12:47.334498
Estación,246,2022-01-23 17:12:47.334498
Illumbe,0,2022-01-23 17:12:47.334498
Katalunia,204,2022-01-23 17:12:47.334498
Kontxa,333,2022-01-23 17:12:47.334498
Kursaal,62,2022-01-23 17:12:47.334498
Okendo,418,2022-01-23 17:12:47.334498
Ondarreta,0,2022-01-23 17:12:47.334498
Pio XII,391,2022-01-23 17:12:47.334498
San Martin,224,2022-01-23 17:12:47.334498
Txofre,10,2022-01-23 17:12:47.334498
Zuatzu,0,2022-01-23 17:12:47.334498
Arcco,0,2022-01-23 17:20:05.771530
Atotxa,173,2022-01-23 17:20:05.771530
Boulevard,138,2022-01-23 17:20:05.771530
Buen Pastor,246,2022-01-23 17:20:05.771530
Easo,110,2022-01-23 17:20:05.771530
Estación,245,2022-01-23 17:20:05.771530
Illumbe,0,2022-01-23 17:20:05.771530
Katalunia,234,2022-01-23 17:20:05.771530
Kontxa,378,2022-01-23 17:20:05.771530
Kursaal,91,2022-01-23 17:20:05.771530
Okendo,447,2022-01-23 17:20:05.771530
Ondarreta,0,2022-01-23 17:20:05.771530
Pio XII,236,2022-01-23 17:20:05.771530
San Martin,221,2022-01-23 17:20:05.771530
Txofre,10,2022-01-23 17:20:05.771530
Zuatzu,0,2022-01-23 17:20:05.771530
Arcco,0,2022-01-23 18:21:48.575843
Atotxa,171,2022-01-23 18:21:48.575843
Boulevard,175,2022-01-23 18:21:48.575843
Buen Pastor,267,2022-01-23 18:21:48.575843
Easo,116,2022-01-23 18:21:48.575843
Estación,241,2022-01-23 18:21:48.575843
Illumbe,0,2022-01-23 18:21:48.575843
Katalunia,277,2022-01-23 18:21:48.575843
Kontxa,443,2022-01-23 18:21:48.575843
Kursaal,143,2022-01-23 18:21:48.575843
Okendo,484,2022-01-23 18:21:48.575843
Ondarreta,0,2022-01-23 18:21:48.575843
Pio XII,240,2022-01-23 18:21:48.575843
San Martin,229,2022-01-23 18:21:48.575843
Txofre,10,2022-01-23 18:21:48.575843
Zuatzu,0,2022-01-23 18:21:48.575843
Arcco,0,2022-01-23 19:14:33.615715
Atotxa,178,2022-01-23 19:14:33.615715
Boulevard,223,2022-01-23 19:14:33.615715
Buen Pastor,279,2022-01-23 19:14:33.615715
Easo,115,2022-01-23 19:14:33.615715
Estación,254,2022-01-23 19:14:33.615715
Illumbe,0,2022-01-23 19:14:33.615715
Katalunia,293,2022-01-23 19:14:33.615715
Kontxa,486,2022-01-23 19:14:33.615715
Kursaal,150,2022-01-23 19:14:33.615715
Okendo,512,2022-01-23 19:14:33.615715
Ondarreta,0,2022-01-23 19:14:33.615715
Pio XII,246,2022-01-23 19:14:33.615715
San Martin,236,2022-01-23 19:14:33.615715
Txofre,10,2022-01-23 19:14:33.615715
Zuatzu,0,2022-01-23 19:14:33.615715
Arcco,0,2022-01-23 20:19:39.599826
Atotxa,178,2022-01-23 20:19:39.599826
Boulevard,269,2022-01-23 20:19:39.599826
Buen Pastor,285,2022-01-23 20:19:39.599826
Easo,140,2022-01-23 20:19:39.599826
Estación,286,2022-01-23 20:19:39.599826
Illumbe,0,2022-01-23 20:19:39.599826
Katalunia,311,2022-01-23 20:19:39.599826
Kontxa,509,2022-01-23 20:19:39.599826
Kursaal,137,2022-01-23 20:19:39.599826
Okendo,542,2022-01-23 20:19:39.599826
Ondarreta,0,2022-01-23 20:19:39.599826
Pio XII,384,2022-01-23 20:19:39.599826
San Martin,247,2022-01-23 20:19:39.599826
Txofre,10,2022-01-23 20:19:39.599826
Zuatzu,0,2022-01-23 20:19:39.599826
Arcco,0,2022-01-23 21:17:05.756645
Atotxa,180,2022-01-23 21:17:05.756645
Boulevard,293,2022-01-23 21:17:05.756645
Buen Pastor,293,2022-01-23 21:17:05.756645
Easo,147,2022-01-23 21:17:05.756645
Estación,305,2022-01-23 21:17:05.756645
Illumbe,0,2022-01-23 21:17:05.756645
Katalunia,336,2022-01-23 21:17:05.756645
Kontxa,532,2022-01-23 21:17:05.756645
Kursaal,138,2022-01-23 21:17:05.756645
Okendo,546,2022-01-23 21:17:05.756645
Ondarreta,0,2022-01-23 21:17:05.756645
Pio XII,485,2022-01-23 21:17:05.756645
San Martin,252,2022-01-23 21:17:05.756645
Txofre,10,2022-01-23 21:17:05.756645
Zuatzu,0,2022-01-23 21:17:05.756645
